id,曲名,歌手名,JoySound,DAM,Others
468,超深淵帯,稲葉曇,J.,-,-
467,乙女解剖,DECO*27,J.,-,-
466,ベノム,かいりきベア,J.,-,-
465,カガリビト,millstones feat.初音ミク,J.,-,-
464,∞,cosMo@暴走P feat.初音ミク,J.,-,-
463,少女レイ,みきとP feat.初音ミク,J.,-,-
462,ドーピングダンス,STEAKA,J.,-,-
461,愛迷エレジー,DECO*27,J.,-,-
460,メンタルチェンソー,P丸様。,J.,-,-
459,エスパーエスパー,ナユタン星人,J.,-,-
458,ボルテッカー,DECO*27,J.,-,-
457,PARTY ROCK ETERNITY,八王子P,J.,-,-
456,アフターエポックス,sasakure.UK,J.,-,-
455,俺ゴーストタイプ,syudou,J.,-,-
454,あなたの夜が明けるまで,傘村トータ,J.,-,-
453,透明なパレット,Aqu3ra,J.,-,-
452,二息歩行,DECO*27,J.,-,-
451,愛言葉V,DECO*27,J.,D.,-
450,マネキン,DECO*27,J.,-,-
449,SnowMix♪,marasy,J.,-,-
448,おじゃま虫II,DECO*27,J.,-,-
447,ジレンマ,DECO*27,J.,-,-
446,パラサイト,DECO*27,J.,-,-
445,ゴーストヒバナ,DECO*27,J.,D.,-
444,妄想税,DECO*27,J.,-,-
443,毒林檎,DECO*27,J.,-,-
442,シリーテラー,r-906,J.,D.,-
441,クリーチャー,サツキ×大漠波新×吉田夜世,J.,-,-
440,白い雪のプリンセスは,のぼる↑ feat.初音ミク,J.,-,-
439,スクランブル交際,DECO*27,J.,-,-
438,妄想感傷代償連盟,DECO*27,J.,-,-
437,ドッペルゲンガー,はるまきごはん,J.,-,-
436,Last Night，Good Night,livetune feat.初音ミク,J.,-,-
435,アイドル戦士,Mitchie M,J.,D.,-
434,1/6 -out of the gravity-,ぼーかりおどP(noa) feat.初音ミク,J.,D.,-
433,ODDS&ENDS,ryo(supercell) feat.初音ミク,J.,D.,-
432,東京テディベア,Neru,J.,D.,-
431,Artifact,buzzG,J.,-,-
430,FREELY TOMORROW,Mitchie M,J.,D.,-
429,サラマンダー,DECO*27,J.,D.,-
428,M@GICAL☆CURE! LOVE SHOT!,SAWTOWNE,J.,D.,-
427,アンドロイドガール,DECO*27,J.,D.,-
426,シンデレラ,DECO*27,J.,D.,-
425,ネバーランド,DECO*27,J.,D.,-
424,39みゅーじっく!,みきとP feat.初音ミク,J.,-,-
423,祝福のメシアとアイの塔,ひとしずく×やま△ feat.初音ミク、鏡音リン、鏡音レン、巡音ルカ、KAITO、MEIKO、GUMI、神威がくぽ、IA、MAYU,J.,-,-
422,妄想スケッチ,40mP feat.初音ミク,J.,D.,-
421,デビルじゃないもん,DECO*27，ピノキオピー,J.,D.,-
420,少女A,椎名もた,J.,D.,-
419,ネクラチューンサーカス,かいりきベア,J.,-,-
418,スターリースタート,かいりきベア,J.,D.,-
417,アンハッピーリフレイン,wowaka feat.初音ミク,J.,D.,-
416,カイコ,DECO*27,J.,D.,-
415,くるみ割り女王,ナナホシ管弦楽団,J.,-,-
414,オールセーブチャレンジ,香椎モイミ,J.,D.,-
413,Starduster,ジミーサムP feat.初音ミク,J.,D.,-
412,マシュマロ,DECO*27,J.,D.,-
411,蜜月アン・ドゥ・トロワ,DATEKEN,J.,D.,-
410,音偽バナシ,DECO*27,J.,D.,-
409,チェリーポップ,DECO*27,J.,D.,-
408,PPPP,TAK,J.,-,-
407,ミサイルキラー,ただのCo feat.鏡音リン,J.,D.,-
406,グリーンライツ・セレナーデ,Omoi feat.初音ミク,J.,D.,-
405,テレパシ,DECO*27,J.,D.,-
404,アニマル,DECO*27,J.,D.,-
403,ハッピーチートデー,れるりり feat.初音ミク,J.,D.,-
402,マリオネット・バレリーナ,初瀬乃愛 (CV.田嶌紗蘭),J.,-,-
